bfs_nr,JAHR,Bevölkerung: Anteil 20-39-Jährige [%] ,Bevölkerung: Anteil 40-64-Jährige [%] ,Motorräder [Anz.] ,Motorräder pro 1000 Einwohner [Anz.] ,Bestand Elektromotor [%] ,Bevölkerung [Pers.] ,Ø steuerbares Einkommen natürliche Pers. [Fr.] ,Ø steuerbares Vermögen natürliche Pers. [Fr.] ,Erschliessung durch S-Bahn+Bus [% der Einw.] ,"MIV-Wege Quell-, Ziel- und Binnenverkehr [Anz.] ",MIV-Anteil (Modal Split) [%] ,Motorrad-Neuzulassungen [Anz.] ,Motorrad-Neuzulasssungen pro 1000 Einw. [Anz.] ,Neuzulassungen  Elektromotor [%] ,Weg zur nächsten Haltestelle [m] ,municipality,canton,electric_car_charging_spot_count,electric_cars_per_charging_spot
94,2023,22.6,38.0,275,93.7,3.9,2991,67818,328000000,56.5,12214.0,87.0,14,4.8,21.5,210.0,Otelfingen,ZH,4,22.3
95,2023,15.8,44.9,30,64.4,2.5,463,75801,563000000,0.0,1335.0,85.0,1,2.1,33.3,120.0,Regensberg,ZH,0,999.0
96,2023,29.2,33.6,1509,80.7,3.4,19637,57976,289000000,31.6,88431.0,91.0,99,5.3,19.6,174.0,Regensdorf,ZH,24,18.6
97,2023,29.2,33.4,672,82.2,2.9,8189,60329,251000000,62.0,38431.0,85.0,80,9.8,16.4,183.0,Rümlang,ZH,13,16.7
98,2023,26.2,38.0,95,110.3,3.9,870,64244,345000000,0.0,1317.0,90.0,5,5.8,25.0,192.0,Schleinikon,ZH,0,999.0
99,2023,17.6,40.0,146,107.3,5.1,1389,73158,475000000,59.6,3056.0,82.0,7,5.1,20.4,231.0,Schöfflisdorf,ZH,0,999.0
100,2023,23.0,39.5,235,100.1,3.8,2359,64205,327000000,0.0,6897.0,91.0,10,4.3,23.2,292.0,Stadel,ZH,0,999.0
101,2023,25.5,35.8,332,92.1,3.8,3709,66035,387000000,60.4,9604.0,85.0,17,4.7,23.0,228.0,Steinmaur,ZH,4,25.3
102,2023,29.0,37.5,214,103.2,3.5,2116,58069,237000000,0.0,7871.0,97.0,13,6.3,16.9,243.0,Weiach,ZH,0,999.0
111,2023,20.3,36.5,523,102.4,3.0,5144,60966,401000000,0.0,16169.0,90.0,19,3.7,23.1,364.0,Bäretswil,ZH,3,36.0
112,2023,21.1,36.3,702,93.7,4.4,7588,67746,413000000,33.3,23333.0,81.0,46,6.1,33.0,248.0,Bubikon,ZH,3,76.7
113,2023,22.8,37.1,735,94.5,4.0,7868,60311,335000000,39.7,19357.0,91.0,66,8.5,23.8,243.0,Dürnten,ZH,19,10.2
114,2023,22.5,38.7,279,107.4,3.0,2617,54715,230000000,9.1,6239.0,89.0,8,3.1,31.1,431.0,Fischenthal,ZH,2,28.5
115,2023,23.1,35.7,1044,101.2,3.3,10548,67515,468000000,0.4,29404.0,89.0,51,4.9,26.6,189.0,Gossau,ZH,7,34.6
116,2023,23.6,36.4,395,103.0,4.8,3837,64781,395000000,0.0,13519.0,91.0,23,6.0,26.4,296.0,Grüningen,ZH,0,999.0
117,2023,24.5,35.2,1061,91.8,3.3,11824,60378,373000000,48.1,53570.0,91.0,41,3.5,22.2,267.0,Hinwil,ZH,21,15.0
118,2023,26.1,34.2,936,73.8,2.9,12822,55004,273000000,35.5,31014.0,82.0,56,4.4,27.0,175.0,Rüti,ZH,13,18.3
119,2023,20.9,40.0,160,112.8,6.4,1457,68943,566000000,0.0,3265.0,73.0,8,5.6,42.9,435.0,Seegräben,ZH,2,32.0
120,2023,24.6,36.2,928,89.8,2.7,10525,52594,277000000,48.9,24832.0,88.0,25,2.4,23.6,252.0,Wald,ZH,11,15.1
121,2023,28.5,33.1,1827,70.3,3.1,26421,55688,270000000,57.0,87474.0,80.0,106,4.1,22.7,175.0,Wetzikon,ZH,26,20.0
131,2023,26.9,34.7,1643,85.7,3.7,19660,67236,360000000,78.5,43019.0,77.0,118,6.2,20.6,173.0,Adliswil,ZH,45,8.7
135,2023,22.7,38.0,830,89.5,5.6,9425,137305,1665000000,54.1,21689.0,82.0,54,5.8,24.2,131.0,Kilchberg,ZH,17,17.4
136,2023,22.7,35.1,772,96.0,4.8,8140,76899,576000000,43.2,16791.0,82.0,43,5.3,33.5,231.0,Langnau am Albis,ZH,2,98.5
137,2023,19.6,36.2,427,80.9,3.9,5385,96091,836000000,76.9,11619.0,70.0,18,3.4,30.7,203.0,Oberrieden,ZH,0,999.0
138,2023,21.4,36.8,1047,75.0,4.5,14182,73195,455000000,75.4,31404.0,81.0,57,4.1,24.9,214.0,Richterswil,ZH,2,172.5
139,2023,21.0,37.5,527,84.8,5.6,6268,138709,2733000000,61.5,15470.0,72.0,23,3.7,22.7,193.0,Rüschlikon,ZH,6,36.8
141,2023,24.6,35.9,1428,77.7,5.1,18550,90870,686000000,68.5,49368.0,73.0,69,3.8,26.9,157.0,Thalwil,ZH,19,26.6
151,2023,18.8,39.5,502,88.6,6.4,5585,147446,4087000000,80.1,13498.0,77.0,22,3.9,27.3,132.0,Erlenbach,ZH,3,68.3
152,2023,18.3,39.1,708,105.0,5.4,6753,147821,2339000000,36.0,13733.0,85.0,31,4.6,30.3,148.0,Herrliberg,ZH,2,139.0
153,2023,21.6,36.8,813,90.8,3.3,8986,62717,471000000,3.3,23420.0,89.0,36,4.0,22.2,225.0,Hombrechtikon,ZH,2,125.5
154,2023,20.0,35.5,1091,73.6,5.4,15102,146168,3376000000,50.2,44921.0,81.0,63,4.2,21.2,210.0,Küsnacht,ZH,19,24.6
155,2023,20.9,38.5,846,74.1,5.1,11662,86970,672000000,48.5,25972.0,79.0,40,3.5,32.3,197.0,Männedorf,ZH,5,64.2
156,2023,19.3,38.6,1117,75.8,5.0,14742,112225,1548000000,47.7,38359.0,74.0,58,3.9,25.7,172.0,Meilen,ZH,7,66.1
157,2023,24.1,39.1,495,100.1,3.4,5075,56686,258000000,0.2,15156.0,89.0,31,6.3,29.1,214.0,Oetwil am See,ZH,2,57.5
158,2023,19.9,37.2,1235,83.0,4.6,15059,85113,856000000,61.1,41963.0,79.0,57,3.8,28.1,165.0,Stäfa,ZH,12,36.0
159,2023,20.4,38.5,559,88.4,5.0,6343,96231,863000000,35.5,14158.0,75.0,24,3.8,30.7,168.0,Uetikon am See,ZH,2,103.5
160,2023,17.0,37.0,418,74.3,6.3,5758,134636,2715000000,59.0,13804.0,76.0,25,4.4,25.0,247.0,Zumikon,ZH,2,108.0
161,2023,19.9,37.4,1156,85.9,4.9,13550,139587,2388000000,68.9,31994.0,71.0,69,5.1,24.4,207.0,Zollikon,ZH,5,72.6
172,2023,23.2,36.0,599,88.2,3.7,6848,66930,398000000,80.4,28058.0,89.0,32,4.7,29.3,209.0,Fehraltorf,ZH,5,39.4
