Bevölkerung: Anteil 20-39-Jährige [%] ,Bevölkerung: Anteil 40-64-Jährige [%] ,Motorräder pro 1000 Einwohner [Anz.] ,Bestand Elektromotor [%] ,Ø steuerbares Einkommen natürliche Pers. [Fr.] ,Erschliessung durch S-Bahn+Bus [% der Einw.] ,"MIV-Wege Quell-, Ziel- und Binnenverkehr [Anz.] ",Motorrad-Neuzulasssungen pro 1000 Einw. [Anz.] ,Neuzulassungen  Elektromotor [%] ,Weg zur nächsten Haltestelle [m] ,electric_car_charging_spot_count,electric_cars_per_charging_spot,Ranking Gesamt [Punkte],bfs_nr,municipality,Rangliste
1.92,1.8900000000000001,0.87,1.55,4.32,1.8,28.400000000000002,0.72,9.15,1.5,1.8,5.2,59.12,141,Thalwil,36.0
0.44999999999999996,4.2,1.71,2.0,4.74,0.2,16.6,0.76,9.45,0.4,0.4,2.0,42.91,151,Erlenbach,128.0
0.36,3.99,2.88,1.6500000000000001,4.77,6.1000000000000005,17.6,1.04,12.15,1.0,0.30000000000000004,0.5,52.339999999999996,152,Herrliberg,85.0
1.14,2.5200000000000005,1.89,0.65,1.5,8.9,23.400000000000002,0.8,4.5,5.800000000000001,0.30000000000000004,0.8,52.19999999999999,153,Hombrechtikon,86.0
0.75,1.61,0.6,1.6500000000000001,4.71,4.4,28.200000000000003,0.88,3.75,4.7,1.8,5.9,58.95,154,Küsnacht,37.0
0.9299999999999999,3.6400000000000006,0.69,1.55,4.2299999999999995,4.9,24.200000000000003,0.6,13.049999999999999,3.8000000000000003,0.6000000000000001,2.2,60.39,155,Männedorf,26.0
0.57,3.7100000000000004,0.8099999999999999,1.5,4.53,5.2,26.8,0.76,7.8,2.3000000000000003,0.8,2.1,56.879999999999995,156,Meilen,51.0
1.8299999999999998,3.99,2.52,0.7000000000000001,0.48,9.600000000000001,18.8,1.68,11.1,5.1000000000000005,0.30000000000000004,2.4000000000000004,58.5,157,Oetwil am See,41.0
0.72,2.7300000000000004,1.23,1.3,4.14,2.7,27.8,0.72,10.2,1.9000000000000001,1.3,4.0,58.74,158,Stäfa,38.0
0.8099999999999999,3.6400000000000006,1.68,1.5,4.4399999999999995,6.300000000000001,18.2,0.72,12.299999999999999,2.1,0.30000000000000004,1.1,53.089999999999996,159,Uetikon am See,78.0
0.12,2.5900000000000003,0.72,1.9500000000000002,4.59,3.2,17.8,0.96,7.199999999999999,7.2,0.30000000000000004,1.0,47.63,160,Zumikon,111.0
0.72,2.87,1.53,1.4500000000000002,4.68,1.7000000000000002,26.400000000000002,1.2,6.75,4.4,0.6000000000000001,1.7000000000000002,54.00000000000001,161,Zollikon,72.0
1.5899999999999999,1.9600000000000002,1.65,0.8500000000000001,2.2199999999999998,0.1,25.0,1.08,11.25,4.6000000000000005,0.6000000000000001,3.5,54.4,172,Fehraltorf,69.0
0.8999999999999999,4.0600000000000005,3.27,0.75,2.6399999999999997,9.8,14.8,1.28,7.199999999999999,8.0,0.1,0.1,52.900000000000006,173,Hittnau,81.0
1.3199999999999998,3.43,3.1799999999999997,1.5,2.52,8.6,24.8,1.2,12.0,2.0,2.3000000000000003,9.8,72.64999999999999,176,Lindau,2.0
1.74,1.4700000000000002,0.75,0.9500000000000001,2.07,5.2,27.400000000000002,0.64,10.2,5.9,1.9000000000000001,8.6,66.82,177,Pfäffikon,6.0
0.57,3.22,2.6399999999999997,1.1500000000000001,3.75,9.8,15.8,1.48,13.65,6.4,0.4,2.9000000000000004,61.76,178,Russikon,20.0
1.08,2.5900000000000003,3.33,1.4500000000000002,3.06,9.8,12.4,1.24,13.35,3.1,0.1,0.1,51.60000000000001,180,Weisslingen,90.0
1.08,2.45,3.12,0.9500000000000001,0.42,0.5,9.600000000000001,1.84,7.199999999999999,8.700000000000001,0.1,0.1,36.06000000000001,181,Wila,150.0
0.6,3.99,3.75,0.05,2.67,9.8,5.6000000000000005,2.36,0.3,8.5,0.1,0.1,37.82000000000001,182,Wildberg,145.0
2.6399999999999997,0.9100000000000001,0.57,1.0,1.3499999999999999,1.3,30.8,0.96,4.95,1.7000000000000002,1.8,3.7,51.68000000000001,191,Dübendorf,89.0
0.57,3.22,1.92,0.9500000000000001,3.9,7.9,22.6,1.36,4.2,8.8,0.5,2.3000000000000003,58.22,192,Egg,43.0
1.5899999999999999,1.7500000000000002,2.4,1.25,3.42,9.8,23.0,1.24,11.7,2.3000000000000003,0.30000000000000004,0.6000000000000001,59.35,193,Fällanden,33.0
1.26,1.05,0.3,0.65,3.27,0.8,15.200000000000001,0.24,8.1,4.4,0.1,0.1,35.47,194,Greifensee,151.0
